D:\ProgramData\Anaconda3\envs\myenvs\python.exe E:/machine_learning/word2vec/cbow.py
------------------------------------------------------------
                       GPU Mode (cupy)
------------------------------------------------------------

| epoch 1 |  iter 6241 / 9295 | time 120[s] | loss 2.34
| epoch 1 |  iter 6261 / 9295 | time 121[s] | loss 2.31
| epoch 1 |  iter 6281 / 9295 | time 121[s] | loss 2.35
| epoch 1 |  iter 6301 / 9295 | time 121[s] | loss 2.33
| epoch 1 |  iter 6321 / 9295 | time 122[s] | loss 2.32
| epoch 1 |  iter 6341 / 9295 | time 122[s] | loss 2.32
| epoch 1 |  iter 6361 / 9295 | time 123[s] | loss 2.33
| epoch 1 |  iter 6381 / 9295 | time 123[s] | loss 2.35
| epoch 1 |  iter 6401 / 9295 | time 124[s] | loss 2.31
| epoch 1 |  iter 6421 / 9295 | time 124[s] | loss 2.31
| epoch 1 |  iter 6441 / 9295 | time 124[s] | loss 2.31
| epoch 1 |  iter 6461 / 9295 | time 125[s] | loss 2.32
| epoch 1 |  iter 6481 / 9295 | time 125[s] | loss 2.33
| epoch 1 |  iter 6501 / 9295 | time 126[s] | loss 2.32
| epoch 1 |  iter 6521 / 9295 | time 126[s] | loss 2.29
| epoch 1 |  iter 6541 / 9295 | time 126[s] | loss 2.31
| epoch 1 |  iter 6561 / 9295 | time 127[s] | loss 2.30
| epoch 1 |  iter 6581 / 9295 | time 127[s] | loss 2.30
| epoch 1 |  iter 6601 / 9295 | time 128[s] | loss 2.34
| epoch 1 |  iter 6621 / 9295 | time 128[s] | loss 2.31
| epoch 1 |  iter 6641 / 9295 | time 129[s] | loss 2.29
| epoch 1 |  iter 6661 / 9295 | time 129[s] | loss 2.29
| epoch 1 |  iter 6681 / 9295 | time 129[s] | loss 2.30
| epoch 1 |  iter 6701 / 9295 | time 130[s] | loss 2.31
| epoch 1 |  iter 6721 / 9295 | time 130[s] | loss 2.28
| epoch 1 |  iter 6741 / 9295 | time 131[s] | loss 2.34
| epoch 1 |  iter 6761 / 9295 | time 131[s] | loss 2.31
| epoch 1 |  iter 6781 / 9295 | time 132[s] | loss 2.30
| epoch 1 |  iter 6801 / 9295 | time 132[s] | loss 2.32
| epoch 1 |  iter 6821 / 9295 | time 132[s] | loss 2.34
| epoch 1 |  iter 6841 / 9295 | time 133[s] | loss 2.30
| epoch 1 |  iter 6861 / 9295 | time 133[s] | loss 2.28
| epoch 1 |  iter 6881 / 9295 | time 134[s] | loss 2.35
| epoch 1 |  iter 6901 / 9295 | time 134[s] | loss 2.34
| epoch 1 |  iter 6921 / 9295 | time 135[s] | loss 2.28
| epoch 1 |  iter 6941 / 9295 | time 135[s] | loss 2.27
| epoch 1 |  iter 6961 / 9295 | time 135[s] | loss 2.31
| epoch 1 |  iter 6981 / 9295 | time 136[s] | loss 2.30
| epoch 1 |  iter 7001 / 9295 | time 136[s] | loss 2.32
| epoch 1 |  iter 7021 / 9295 | time 137[s] | loss 2.29
| epoch 1 |  iter 7041 / 9295 | time 137[s] | loss 2.27
| epoch 1 |  iter 7061 / 9295 | time 138[s] | loss 2.32
| epoch 1 |  iter 7081 / 9295 | time 138[s] | loss 2.32
| epoch 1 |  iter 7101 / 9295 | time 138[s] | loss 2.31
| epoch 1 |  iter 7121 / 9295 | time 139[s] | loss 2.34
| epoch 1 |  iter 7141 / 9295 | time 139[s] | loss 2.29
| epoch 1 |  iter 7161 / 9295 | time 140[s] | loss 2.31
| epoch 1 |  iter 7181 / 9295 | time 140[s] | loss 2.30
| epoch 1 |  iter 7201 / 9295 | time 141[s] | loss 2.28
| epoch 1 |  iter 7221 / 9295 | time 141[s] | loss 2.29
| epoch 1 |  iter 7241 / 9295 | time 141[s] | loss 2.31
| epoch 1 |  iter 7261 / 9295 | time 142[s] | loss 2.30
| epoch 1 |  iter 7281 / 9295 | time 142[s] | loss 2.28
| epoch 1 |  iter 7301 / 9295 | time 143[s] | loss 2.28
| epoch 1 |  iter 7321 / 9295 | time 143[s] | loss 2.29
| epoch 1 |  iter 7341 / 9295 | time 144[s] | loss 2.32
| epoch 1 |  iter 7361 / 9295 | time 144[s] | loss 2.31
| epoch 1 |  iter 7381 / 9295 | time 144[s] | loss 2.32
| epoch 1 |  iter 7401 / 9295 | time 145[s] | loss 2.29
| epoch 1 |  iter 7421 / 9295 | time 145[s] | loss 2.29
| epoch 1 |  iter 7441 / 9295 | time 146[s] | loss 2.29
| epoch 1 |  iter 7461 / 9295 | time 146[s] | loss 2.29
| epoch 1 |  iter 7481 / 9295 | time 147[s] | loss 2.30
| epoch 1 |  iter 7501 / 9295 | time 147[s] | loss 2.29
| epoch 1 |  iter 7521 / 9295 | time 147[s] | loss 2.28
| epoch 1 |  iter 7541 / 9295 | time 148[s] | loss 2.29
| epoch 1 |  iter 7561 / 9295 | time 148[s] | loss 2.28
| epoch 1 |  iter 7581 / 9295 | time 149[s] | loss 2.31
| epoch 1 |  iter 7601 / 9295 | time 149[s] | loss 2.28
| epoch 1 |  iter 7621 / 9295 | time 150[s] | loss 2.26
| epoch 1 |  iter 7641 / 9295 | time 150[s] | loss 2.29
| epoch 1 |  iter 7661 / 9295 | time 151[s] | loss 2.26
| epoch 1 |  iter 7681 / 9295 | time 151[s] | loss 2.30
| epoch 1 |  iter 7701 / 9295 | time 151[s] | loss 2.26
| epoch 1 |  iter 7721 / 9295 | time 152[s] | loss 2.29
| epoch 1 |  iter 7741 / 9295 | time 152[s] | loss 2.33
| epoch 1 |  iter 7761 / 9295 | time 153[s] | loss 2.27
