D:\ProgramData\Anaconda3\envs\myenvs\python.exe E:/machine_learning/recurrent_nerual_network/rnnlm.py
| epoch 4 |  iter 1081 / 1327 | time 1465[s] | perplexity 418.69
| epoch 4 |  iter 1101 / 1327 | time 1472[s] | perplexity 433.68
| epoch 4 |  iter 1121 / 1327 | time 1478[s] | perplexity 488.13
| epoch 4 |  iter 1141 / 1327 | time 1485[s] | perplexity 464.11
| epoch 4 |  iter 1161 / 1327 | time 1492[s] | perplexity 458.49
| epoch 4 |  iter 1181 / 1327 | time 1499[s] | perplexity 448.64
| epoch 4 |  iter 1201 / 1327 | time 1506[s] | perplexity 409.75
| epoch 4 |  iter 1221 / 1327 | time 1513[s] | perplexity 385.27
| epoch 4 |  iter 1241 / 1327 | time 1520[s] | perplexity 450.75
| epoch 4 |  iter 1261 / 1327 | time 1527[s] | perplexity 431.33
| epoch 4 |  iter 1281 / 1327 | time 1534[s] | perplexity 440.85
| epoch 4 |  iter 1301 / 1327 | time 1541[s] | perplexity 528.67
| epoch 4 |  iter 1321 / 1327 | time 1548[s] | perplexity 494.54
evaluating perplexity ...
234 / 235
test perplexity:  463.03840519349234

Process finished with exit code 0
